"Country","Year","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Guam","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto Rico","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Costa Rica","2022","59","18","109","16","947","100","335","28","47","5744","711","0","13","20","273","59","20","28","41","57","9","243","496","58","55","12","40","0","19","93","35","2241","21","2264","328","5","92","50","45","339","76","123","260","0","84","1625","100","4","323","183","13","59","0"
"Cote d'Ivoire","2022","11","5","298","4","133","133","66","0","6","64","280","0","0","154","305","206","359","72","514","5","76","164","139","168","55","3","155","0","26","29","88","23","17","243","272","24","457","7","48","153","0","14","21","16","128","988","64","33","114","160","0","84","0"
"Croatia","2022","0","0","21","0","14","12","0","0","0","0","18","0","0","7","17","5","6","8","11","0","5","13","4","9","5","0","0","0","3","0","0","11","0","33","16","0","18","0","0","17","0","0","0","0","14","43","3","3","0","11","0","0","0"
"Cuba","2022","11","0","34","6","203","21","42","6","3","358","68","0","3","3","33","5","0","3","10","13","0","24","30","18","11","3","4","0","3","18","5","441","5","112","70","0","14","4","40","57","0","0","41","0","21","155","14","0","42","30","4","11","0"
"Cyprus","2022","4","3","20","4","53","14","14","11","8","29","119","0","5","0","24","16","13","4","12","4","0","124","37","21","32","0","7","0","12","10","5","99","0","341","40","7","91","4","3","95","0","12","13","0","18","200","9","3","51","44","3","18","0"
"Czechia","2022","0","0","20","0","70","5","4","0","0","44","25","0","0","4","43","10","10","0","0","3","4","0","6","12","0","0","6","0","0","9","0","21","0","80","7","0","12","0","7","14","0","0","0","0","0","28","6","0","9","7","0","9","0"
"Czechoslovakia (former)","2022","62","7","368","8","395","65","49","13","11","35311","366","0","6","0","121","67","48","54","966","116","4","46","73","143","25","16","100","0","158","1173","8","877","82","439","243","3","49","31","126","274","101","14","60","18","143","4197","14","3","138","85","3","36","3"
"Chad","2022","0","0","0","0","22","0","5","0","0","10","5","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","38","0","0","0","0","3","3","0","0","0","0","0","7","0","0","5","3","0","0","0"
"Chile","2022","4","4","16","0","87","20","6","0","3","99","28","0","4","0","56","3","3","3","4","3","0","7","18","5","4","0","3","0","0","8","0","24","0","33","14","0","8","0","8","17","0","0","6","0","4","29","0","3","13","19","0","3","0"
"China, People's Republic","2022","0","0","5","0","47","5","3","0","3","29","7","0","0","0","14","0","0","3","0","0","0","4","7","3","0","0","3","0","0","0","0","8","0","20","3","0","4","0","4","6","0","0","0","0","0","14","0","0","7","19","0","0","0"
