"Country","Year","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Guam","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto Rico","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Honduras","2020","26","5","46","25","462","30","47","5","12","1211","159","0","0","0","76","52","19","18","11","293","0","187","120","23","32","24","29","0","13","58","5","194","6","429","221","0","32","19","17","55","7","7","59","6","84","653","27","0","204","48","3","25","0"
"Hong Kong","2020","7","0","19","4","594","9","10","5","0","41","20","0","19","3","30","9","0","10","0","4","0","31","77","11","11","3","5","0","0","39","0","34","0","201","24","0","14","0","5","39","0","0","6","0","4","92","13","0","21","88","0","9","0"
"Hungary","2020","0","0","25","3","109","8","11","0","4","171","16","0","7","0","16","9","0","0","5","5","0","16","13","12","10","0","5","0","0","25","0","37","0","71","19","0","25","0","7","16","0","0","0","0","7","29","6","0","14","14","0","8","0"
"Iceland","2020","0","0","0","0","17","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","5","0","0","0","0","0","0","0","0","5","0","5","0","0","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"India","2020","320","3","641","197","9822","375","573","151","52","1384","2426","0","13","31","2514","530","185","178","121","169","26","1492","1605","848","633","100","365","3","85","189","78","3752","70","1972","1731","14","964","114","215","1554","0","35","368","17","691","6969","153","13","1897","1766","32","307","8"
"Indonesia","2020","5","0","15","8","432","42","7","0","0","57","51","0","0","0","25","9","0","5","5","13","0","46","21","9","13","0","6","0","5","21","13","33","3","76","19","0","29","8","15","64","0","0","6","0","26","123","11","0","31","70","0","8","0"
"Iran","2020","33","0","161","14","4244","69","38","6","22","224","233","0","6","18","159","27","8","26","33","26","3","352","150","63","52","4","30","0","16","200","5","83","18","190","120","6","70","43","69","51","0","8","28","4","83","942","86","4","425","261","7","25","0"
"Iraq","2020","23","6","938","10","1696","238","60","0","4","253","177","0","0","90","542","50","78","47","180","44","97","157","340","1627","243","0","136","0","196","84","35","34","28","376","160","23","279","33","149","167","0","26","16","15","360","1871","218","15","409","515","0","105","0"
"Ireland","2020","0","0","22","0","208","25","26","0","8","66","20","0","0","0","55","13","0","4","9","5","3","16","135","5","12","0","7","0","0","9","3","42","0","188","39","0","9","0","10","41","0","6","8","0","14","48","7","0","26","40","0","5","0"
"Israel","2020","13","0","38","0","501","21","14","0","5","345","46","0","5","0","58","7","0","5","7","14","0","68","58","23","16","0","12","0","0","78","4","113","5","473","35","0","29","3","17","43","0","0","16","0","11","116","6","3","23","63","0","8","0"
"Italy","2020","12","0","40","0","374","33","59","3","8","332","40","0","10","7","75","18","6","7","3","6","0","40","106","47","13","3","7","0","0","38","7","109","10","377","49","0","42","0","19","82","5","12","17","0","7","101","17","0","70","36","0","18","0"
"Jamaica","2020","61","7","44","7","194","27","678","45","21","4107","835","0","9","3","115","22","5","16","9","54","25","545","451","48","33","37","42","3","5","41","12","658","7","3514","179","6","74","15","14","410","0","23","80","0","54","334","13","14","222","32","7","38","0"
"Japan","2020","6","0","41","5","515","21","14","0","5","42","30","9","104","5","33","8","0","8","3","8","5","29","37","29","11","0","6","0","3","44","0","42","5","135","22","0","24","3","16","23","0","0","8","0","18","86","13","0","46","79","0","8","0"
"Jordan","2020","34","0","51","13","345","21","21","0","4","162","35","0","0","0","287","37","12","15","19","101","0","34","37","89","21","6","42","0","4","12","7","121","14","132","69","0","185","9","11","55","5","0","16","0","64","279","6","0","97","36","0","41","0"
"Kazakhstan","2020","4","0","13","0","114","16","5","0","0","84","17","0","3","0","36","5","0","0","3","6","0","23","16","4","9","0","5","0","3","10","0","26","0","113","20","0","13","0","17","28","0","0","6","0","8","64","0","0","24","77","0","3","0"
"Kenya","2020","68","0","98","6","261","70","21","38","13","64","196","0","0","5","41","59","52","68","20","13","16","216","255","40","531","4","125","0","34","29","17","97","8","96","150","18","108","36","34","92","0","4","13","6","96","581","26","3","72","268","6","37","0"
"Korea, South","2020","289","26","112","22","3176","132","57","19","16","189","991","20","136","12","328","46","21","31","22","21","3","575","226","130","64","18","58","7","11","163","7","608","25","807","178","0","105","31","78","257","0","12","38","0","109","834","72","0","551","517","4","33","4"
"Kosovo","2020","0","0","11","3","9","3","25","0","0","23","8","0","0","0","24","0","0","0","8","3","0","7","12","24","0","0","0","0","0","0","0","29","0","167","3","0","4","7","0","12","0","0","0","0","4","39","3","0","11","8","0","19","0"
"Kuwait","2020","7","0","16","0","124","13","9","0","0","39","18","0","0","0","44","9","0","6","11","19","14","13","36","31","15","0","12","0","0","5","0","35","4","44","21","0","32","0","13","22","0","0","5","0","20","105","8","0","34","23","0","9","0"
"Kyrgyzstan","2020","0","0","0","0","46","9","0","0","0","22","7","0","0","3","47","0","0","0","0","3","0","14","23","0","5","0","3","0","0","5","0","6","0","70","7","0","13","0","13","16","0","0","7","0","5","22","0","0","11","24","0","3","0"
"Laos","2020","16","12","18","40","320","26","12","0","0","39","47","0","6","5","26","3","41","36","3","10","0","7","45","13","305","0","7","0","4","20","4","0","0","4","98","0","22","17","64","30","0","12","16","0","72","65","23","0","10","47","0","128","0"
"Latvia","2020","0","0","3","0","32","4","0","0","0","22","5","0","0","0","19","3","0","0","0","0","0","10","10","3","4","0","0","0","0","4","0","9","0","38","5","0","0","0","0","5","0","0","3","0","0","8","0","0","10","23","0","6","0"
"Lebanon","2020","11","0","30","0","279","9","10","0","13","112","27","0","0","0","30","8","5","6","3","19","0","17","123","354","19","0","10","0","0","13","4","41","3","87","34","0","63","8","10","31","0","6","10","0","17","188","10","0","64","16","0","3","0"
"Liberia","2020","11","3","49","0","28","23","13","35","6","19","117","0","0","0","22","22","79","4","14","3","0","228","95","22","361","0","14","0","3","9","8","132","0","124","95","52","42","11","0","360","0","63","9","32","12","160","7","0","51","18","0","7","0"
"Libya","2020","0","0","8","0","30","22","5","0","0","15","10","0","0","0","7","3","7","0","0","0","0","0","12","8","0","0","6","0","0","0","0","7","0","14","13","0","20","7","5","7","0","0","4","0","8","38","0","0","10","12","0","4","0"
"Lithuania","2020","0","0","8","0","44","7","8","0","0","52","14","0","0","0","193","3","0","0","0","0","0","11","23","6","6","0","0","0","0","9","3","28","0","27","9","0","4","0","5","5","0","0","8","0","7","6","0","0","12","7","0","4","0"
"Macau","2020","0","0","0","0","27","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
"Malawi","2020","0","0","0","0","6","0","0","0","0","0","5","0","0","0","0","12","0","0","0","0","0","10","0","9","3","0","0","0","0","0","0","0","0","0","4","0","3","0","0","0","0","0","0","0","0","11","0","0","4","0","0","0","0"
"Malaysia","2020","10","0","26","0","221","15","8","0","0","38","31","0","4","3","35","3","5","11","0","10","0","19","20","10","21","0","6","0","4","11","0","17","0","123","22","0","13","11","5","17","0","0","4","0","9","116","9","0","22","25","0","17","0"
"Mali","2020","0","0","0","0","5","9","0","0","0","4","20","0","0","0","3","6","4","0","0","0","0","55","0","0","4","0","6","0","0","0","0","6","0","129","8","0","16","0","0","39","0","0","0","0","11","21","6","0","0","8","0","6","0"
"Mauritania","2020","0","0","3","0","0","5","0","0","0","0","3","0","0","0","3","6","0","0","8","11","0","6","0","3","0","0","4","0","0","0","0","5","0","25","0","0","58","0","0","7","0","0","0","0","12","5","0","0","8","0","0","0","0"
"Mauritius","2020","0","0","0","0","9","0","0","0","0","6","4","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","4","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0"
"Mexico","2020","442","39","5362","705","27241","1880","151","91","24","2200","1646","0","41","467","3464","731","453","835","156","289","16","352","198","542","554","165","353","37","394","2267","21","365","1388","896","1395","31","316","687","1025","344","43","26","341","35","790","20436","1212","10","449","1504","11","581","68"
"Moldova","2020","20","13","17","3","193","21","6","6","0","177","52","0","3","4","196","8","0","0","0","20","3","30","71","0","51","0","15","0","4","32","6","23","0","107","41","5","18","0","30","27","0","0","9","0","30","43","6","9","34","132","0","7","3"
"Montenegro","2020","0","0","0","0","7","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","4","22","0","0","0","0","0","0","0","0","0","88","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mongolia","2020","0","0","0","0","144","29","0","0","0","12","0","0","0","0","69","3","0","0","0","0","0","12","0","0","0","0","0","0","0","4","0","3","0","3","4","3","3","0","3","0","0","0","0","0","0","4","9","0","58","32","0","3","0"
"Morocco","2020","7","0","27","4","138","47","44","4","12","281","62","0","0","5","94","23","9","12","21","12","0","68","334","32","34","5","11","0","5","17","10","91","3","226","92","0","68","22","9","132","3","9","19","0","26","130","9","0","228","25","0","14","0"
"Nepal","2020","32","0","54","13","534","207","50","7","5","43","133","0","10","10","88","9","84","36","87","15","4","401","253","65","105","5","36","0","56","17","38","61","5","530","211","27","402","22","21","251","0","9","8","42","85","1002","57","26","391","123","0","37","0"
"Netherlands","2020","7","0","20","0","104","19","8","0","0","82","26","0","3","0","18","5","5","0","3","7","0","12","28","12","15","0","6","3","0","8","0","12","0","30","17","0","11","0","6","18","0","0","7","0","16","62","8","0","27","25","3","8","0"
"New Zealand","2020","3","4","13","3","131","34","7","0","0","27","7","0","9","4","12","4","5","0","3","4","3","5","19","4","5","0","9","4","0","18","0","3","0","32","14","0","11","0","11","11","0","0","5","0","9","43","22","0","17","32","0","0","0"
"Nicaragua","2020","7","0","29","9","578","14","10","3","14","1751","62","0","0","4","16","16","10","5","3","56","0","103","12","9","11","4","17","0","5","53","0","60","6","85","65","0","16","6","7","18","7","0","13","3","24","207","10","0","60","21","0","17","0"
"Niger","2020","0","0","0","3","3","0","0","0","0","0","3","0","0","0","0","5","0","0","0","0","0","9","3","0","0","0","0","0","0","0","0","3","0","22","16","0","6","0","0","16","0","0","0","0","0","3","0","0","0","0","0","0","0"
"Nigeria","2020","57","0","95","25","545","60","68","41","56","228","663","0","5","0","380","222","19","35","20","56","7","1273","248","73","192","9","108","4","12","34","11","352","12","604","201","14","147","41","31","193","0","40","49","0","124","2091","18","4","173","64","9","45","0"
"Norway","2020","3","0","11","0","26","18","0","0","0","37","9","0","0","0","0","4","3","3","0","3","0","4","14","0","8","0","0","4","0","9","0","4","0","10","11","0","5","0","4","4","0","0","0","0","12","19","5","0","3","13","0","0","0"
"Pakistan","2020","55","0","67","18","1098","38","172","44","15","328","299","0","3","9","678","74","26","50","24","83","0","578","235","178","72","8","91","0","16","63","14","504","17","1496","236","0","107","53","31","207","0","16","21","0","75","1776","52","0","725","155","9","53","0"
"Panama","2020","13","0","16","5","73","10","5","7","0","239","56","0","0","0","12","4","0","5","0","12","0","38","19","6","4","5","8","0","0","13","0","17","0","123","36","0","9","6","5","12","7","0","11","0","14","115","8","0","28","13","0","4","0"
"Paraguay","2020","0","0","0","0","15","3","6","0","0","53","6","0","0","0","0","0","0","0","0","0","0","33","3","0","0","0","0","0","0","0","0","15","0","73","5","0","0","0","0","3","3","0","0","0","0","15","7","0","5","4","0","0","0"
"Peru","2020","33","7","70","17","861","93","193","8","20","1778","181","0","4","20","92","34","6","27","12","25","5","291","134","26","38","6","32","0","10","90","6","646","9","570","153","0","51","29","32","83","20","7","44","0","52","318","209","4","378","78","11","14","0"
"Poland","2020","8","0","60","0","243","63","297","5","0","242","35","0","4","3","1571","26","0","0","0","12","7","47","119","90","14","0","12","3","0","44","7","416","8","696","40","4","32","4","8","118","0","12","25","0","30","118","11","0","60","47","0","39","0"
"Portugal","2020","3","0","5","0","118","4","71","0","0","55","9","0","0","3","5","0","0","0","0","0","0","32","306","0","7","0","0","0","0","4","3","197","0","86","10","0","0","0","0","17","0","59","6","0","7","18","0","0","13","5","0","0","0"
"Philippines","2020","249","186","753","127","11937","251","176","50","39","1484","332","402","1408","73","1324","214","95","146","67","204","23","958","221","285","243","98","242","27","67","2065","31","921","125","1361","429","38","267","108","207","272","4","20","204","36","308","2291","188","19","883","1229","29","132","18"
"Qatar","2020","0","0","0","0","14","0","0","0","0","4","4","0","0","0","4","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","4","0","9","5","0","6","0","0","0","0","0","0","0","4","21","0","0","13","0","0","0","0"
"Romania","2020","17","0","121","7","308","21","24","7","5","257","110","0","9","17","187","25","4","4","3","24","0","60","50","95","15","5","18","0","3","55","5","48","7","160","59","3","56","0","36","56","0","3","26","6","36","128","9","0","58","130","3","11","3"
"Russia","2020","30","20","59","6","1005","99","58","5","16","616","118","0","12","16","184","30","11","20","10","16","10","142","187","48","80","0","22","7","12","72","8","173","7","795","118","3","66","17","82","159","0","6","65","3","58","244","37","6","145","349","5","30","4"
"Rwanda","2020","0","0","27","0","12","5","0","0","0","0","6","0","0","5","19","12","6","3","13","0","22","11","17","15","3","0","11","0","0","3","8","0","0","22","7","6","16","0","5","7","0","0","0","0","9","83","23","0","6","10","0","0","0"
"Saint Kitts and Nevis","2020","0","0","0","0","3","0","3","0","0","39","11","0","0","0","0","0","0","0","0","0","0","8","6","3","0","0","0","0","0","0","0","7","0","44","4","0","0","0","0","3","0","0","0","0","0","10","0","0","8","0","0","0","0"
"Saint Lucia","2020","3","0","0","0","9","0","30","0","0","79","20","0","0","0","3","0","0","0","0","8","0","12","20","0","0","0","0","0","0","0","0","17","0","254","8","0","3","0","0","7","0","0","0","0","0","33","0","0","7","0","0","3","0"
"Saint Vincent and the Grenadines","2020","0","0","0","0","6","0","0","0","0","29","9","0","0","0","0","0","0","0","0","0","0","7","8","0","0","0","0","0","0","0","0","18","0","223","6","0","0","0","0","16","0","0","0","0","0","4","0","0","3","0","0","0","0"
"Samoa","2020","0","4","0","0","37","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","4","42","0","0","26","0","0","0"
"Saudi Arabia","2020","8","0","11","0","131","17","12","0","5","43","22","0","0","0","54","10","8","8","0","3","0","33","18","35","44","0","15","0","5","9","0","40","5","80","27","0","44","5","10","17","0","0","0","0","19","132","9","0","60","28","0","5","0"
"Senegal","2020","8","0","3","0","23","10","4","0","3","10","43","0","0","0","7","9","3","0","17","5","0","73","18","13","5","3","7","0","0","4","0","19","0","155","27","0","80","4","6","18","0","14","9","0","21","42","0","0","19","24","0","6","0"
"Serbia","2020","0","0","11","0","71","6","6","0","4","88","7","0","0","0","104","4","0","0","4","0","0","15","5","6","3","0","3","0","0","17","0","14","0","76","9","0","10","0","3","12","0","0","0","0","6","25","0","0","24","8","0","7","0"
"Serbia and Montenegro (former)","2020","3","0","15","0","43","7","18","0","6","37","12","0","0","0","45","0","4","0","3","0","0","8","9","35","3","0","11","0","0","10","4","22","0","112","5","0","11","0","0","6","0","0","0","0","4","9","0","0","16","6","0","6","0"
"Sierra Leone","2020","4","0","17","0","37","3","6","12","11","20","46","0","0","0","7","3","5","3","0","0","0","345","43","12","31","0","5","0","0","5","0","68","0","122","34","4","77","0","0","125","0","3","0","0","10","74","0","0","136","10","0","0","0"
"Singapore","2020","6","0","0","0","69","3","0","0","0","7","6","0","0","0","4","0","0","0","0","0","0","5","8","5","3","0","0","0","0","4","0","13","0","21","7","0","5","0","3","3","0","0","3","0","3","33","0","0","5","19","0","0","0"
"Slovakia","2020","0","0","3","0","34","10","9","0","0","38","8","0","5","0","19","3","0","0","0","0","0","7","10","0","4","0","3","0","0","6","0","24","0","31","6","0","3","3","0","8","0","0","0","0","0","14","0","0","5","0","0","0","0"
"Slovenia","2020","0","0","0","0","14","0","0","0","0","4","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","5","6","0","0","0","0","0","0","0"
"Somalia","2020","0","18","89","0","54","140","0","0","0","4","62","0","0","9","36","7","47","68","136","0","59","15","81","35","2613","0","114","0","190","8","0","0","0","91","32","70","566","0","91","31","0","0","0","25","124","146","72","7","34","306","0","135","0"
"South Africa","2020","27","0","47","10","290","68","21","5","7","244","121","0","6","8","47","10","9","14","6","12","5","48","57","20","30","8","16","0","12","26","4","44","4","102","87","9","25","8","34","41","0","0","41","3","49","224","35","5","79","70","5","16","0"
"South Sudan","2020","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","4","0","3","0","0","0","7","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","5","13","4","0","0","7","0","0","0"
"Soviet Union (former)","2020","7","6","18","0","318","30","25","0","6","133","41","0","3","3","55","7","9","4","9","6","0","45","95","8","18","0","9","0","0","20","0","79","3","203","33","0","16","0","18","49","0","0","21","0","19","78","8","0","59","79","0","13","0"
"Spain","2020","5","0","24","3","211","26","26","0","17","331","23","0","7","0","41","11","7","5","6","8","4","46","51","13","15","0","14","3","0","12","4","51","7","157","29","0","13","0","12","32","16","0","16","0","12","109","13","0","52","38","0","11","0"
"Sri Lanka","2020","4","0","7","3","248","14","13","0","0","33","16","0","0","0","42","5","5","14","0","9","0","90","27","16","23","0","0","0","3","32","0","56","0","165","25","0","16","7","9","22","0","0","8","0","6","114","10","0","38","30","0","6","0"
"Sudan","2020","8","9","71","0","72","64","8","0","7","24","52","0","0","22","45","25","146","22","15","6","12","70","36","54","55","0","37","0","91","10","10","23","0","97","81","10","45","4","4","41","0","0","6","13","49","134","47","0","131","49","0","16","0"
"Suriname","2020","0","0","0","0","5","0","4","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","31","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"Sweden","2020","5","0","14","4","190","23","15","0","5","75","18","0","7","3","23","5","0","0","3","3","0","6","24","7","12","0","4","0","0","11","7","13","0","63","20","0","10","5","0","8","0","0","5","0","7","45","14","0","20","25","0","0","0"
"Switzerland","2020","3","0","8","0","75","12","7","0","3","50","8","0","0","0","8","0","0","0","0","0","0","6","7","6","4","0","4","3","0","0","4","12","0","33","6","0","3","0","5","7","0","0","0","0","5","28","6","5","12","8","0","3","0"
"Syria","2020","11","0","53","0","740","13","42","4","6","154","37","0","0","8","159","29","7","12","8","14","0","32","85","108","14","0","15","0","11","21","0","115","0","117","37","0","93","7","21","111","0","12","7","0","22","171","10","0","65","17","7","15","0"
"Taiwan","2020","16","0","22","4","1498","34","27","5","3","58","56","4","17","10","66","15","5","8","4","9","0","81","97","42","22","0","28","0","3","64","8","82","7","228","70","0","23","10","45","45","0","0","11","0","21","323","40","0","55","192","0","15","0"
"Tajikistan","2020","0","0","0","0","30","14","0","0","0","12","4","0","0","0","8","0","0","0","0","0","0","5","0","0","6","0","5","0","9","0","0","11","0","70","0","0","0","0","0","12","0","0","4","0","0","10","0","0","11","4","0","0","0"
"Tanzania","2020","6","0","16","4","25","5","4","4","5","21","19","0","0","5","25","9","20","13","5","0","0","44","23","15","15","0","9","0","0","4","0","5","5","18","17","0","24","3","0","6","0","0","0","6","12","79","8","0","17","11","0","4","0"
"Togo","2020","9","0","12","0","14","19","16","3","9","13","59","0","0","0","68","13","52","3","6","3","0","137","11","8","54","0","11","0","26","0","3","12","0","105","46","0","22","0","0","26","0","0","6","7","14","49","6","0","36","5","0","13","0"
"Tonga","2020","0","0","7","0","109","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","112","0","4","18","0","0","0"
"Tunisia","2020","6","0","4","0","49","4","0","0","3","38","7","0","0","0","9","5","0","0","0","0","0","14","6","6","0","0","3","3","0","7","0","7","3","16","7","0","8","0","0","10","0","0","0","0","9","19","0","0","14","3","0","4","0"
"Turkey","2020","19","0","22","5","340","40","44","15","8","193","62","0","0","0","70","12","5","7","3","22","0","77","80","17","19","5","16","0","5","22","8","241","0","318","38","0","40","5","11","56","0","6","18","0","19","212","6","0","103","68","0","9","0"
"Turkmenistan","2020","0","0","0","0","18","0","0","0","0","9","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0","0","4","0","0","0","27","0","0","4","0","0","0","0","0","0","0","0","18","0","0","4","10","0","0","0"
"Thailand","2020","48","28","143","36","934","117","50","4","0","268","175","5","32","20","146","89","114","48","54","24","12","116","154","47","448","16","52","7","156","157","21","35","17","288","160","4","62","20","77","91","0","9","39","38","91","411","103","6","165","171","7","169","0"
"Trinidad and Tobago","2020","10","0","12","0","59","6","34","12","26","548","112","0","0","0","18","13","0","0","4","21","0","165","82","14","15","4","3","0","0","8","0","179","0","1178","32","0","13","6","5","89","0","7","17","0","23","154","0","0","49","20","3","5","0"
"Uganda","2020","4","0","13","0","70","25","6","0","5","16","18","0","0","0","21","3","0","3","3","3","4","81","193","7","30","0","6","0","5","0","0","12","0","17","12","0","16","5","3","12","0","0","7","5","9","44","3","0","23","21","0","4","0"
"Ukraine","2020","20","14","37","6","681","101","86","4","9","381","92","0","8","22","467","28","18","14","21","24","3","107","121","103","93","8","44","9","11","48","7","197","7","786","103","5","171","6","140","244","0","0","98","13","63","160","25","0","102","631","0","29","0"
"United Arab Emirates","2020","0","0","9","0","94","9","5","0","0","29","14","0","0","0","24","7","5","3","0","0","0","18","15","21","11","0","4","0","0","0","0","12","0","46","11","0","16","8","6","11","0","0","3","0","3","90","5","0","29","17","0","5","0"
"United Kingdom","2020","84","10","220","35","1496","242","172","18","34","914","302","0","21","22","190","74","26","42","24","54","31","196","404","148","101","17","56","17","20","112","44","208","32","706","322","0","135","37","90","220","0","17","124","5","149","850","99","16","228","258","7","65","6"
"United States","2020","3","0","0","0","34","0","3","0","0","21","5","0","0","0","0","0","0","0","0","0","0","4","6","4","0","0","0","0","0","3","0","7","0","18","3","0","0","0","0","0","0","0","0","0","0","12","0","0","6","4","0","0","0"
"Uruguay","2020","0","0","7","0","38","3","16","0","0","276","60","0","0","0","15","0","0","0","3","3","0","25","42","4","10","0","3","0","0","8","4","91","0","46","23","0","9","0","0","5","7","0","16","0","8","41","18","0","14","3","0","6","0"
"Uzbekistan","2020","0","0","25","0","169","30","15","0","0","115","28","0","0","6","43","3","0","4","4","0","0","45","21","6","11","0","15","0","0","5","3","43","0","481","21","0","62","3","15","88","0","0","30","0","29","36","8","0","33","36","0","7","0"
"Venezuela","2020","41","0","49","10","228","56","27","5","15","3935","201","0","5","0","66","38","11","9","15","53","0","81","94","18","34","12","21","0","8","33","3","115","6","207","121","0","49","41","19","65","81","9","35","0","53","811","86","0","93","40","0","7","0"
"Vietnam","2020","241","16","551","115","6626","363","87","16","14","1060","1017","0","86","13","292","101","162","219","51","568","22","419","666","207","478","97","242","11","169","191","37","179","64","281","573","21","192","199","265","486","0","13","121","9","251","3726","166","11","640","1034","13","72","5"
"Yemen","2020","48","0","3","7","359","0","26","11","0","11","5","0","0","0","67","37","4","0","0","42","0","10","7","486","15","42","3","0","0","0","0","11","0","642","97","0","10","0","7","9","0","0","3","0","72","10","0","0","42","10","0","0","0"
"Zambia","2020","0","0","10","4","34","8","0","0","0","11","36","0","0","4","14","7","0","0","0","4","0","14","8","3","11","0","0","0","0","3","0","13","0","22","12","0","6","0","3","11","0","0","0","0","7","55","0","0","6","12","0","0","0"
"Zimbabwe","2020","7","0","19","0","41","12","0","0","3","19","36","0","0","0","12","22","0","0","7","0","0","22","26","10","9","0","5","0","4","3","0","10","0","21","26","0","18","3","0","18","0","0","5","0","13","119","10","0","27","9","0","5","0"
"Afghanistan","2019","5","0","55","0","823","59","21","4","13","44","83","0","0","24","35","19","10","6","16","0","18","51","25","18","13","0","26","0","19","20","0","45","23","249","51","0","32","0","24","51","0","0","7","3","13","177","33","0","534","61","0","6","3"
"Albania","2019","0","0","23","0","52","7","149","4","0","268","16","0","4","4","169","6","4","0","0","0","4","25","333","396","6","0","36","0","0","15","15","138","0","562","22","0","72","4","3","202","0","0","15","0","9","69","6","0","34","13","0","32","0"
"Algeria","2019","4","0","4","0","135","33","19","0","0","49","24","0","0","0","83","27","0","48","12","13","0","11","58","26","6","0","12","0","0","0","0","74","0","102","32","0","71","3","3","163","0","0","0","0","4","116","0","0","40","17","0","8","0"
"American Samoa","2019","0","17","3","0","39","3","0","0","0","0","7","0","38","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3","17","0","0","4","3","0","0","0","3","0","0","23","19","0","4","48","0","0","0"
"Antigua and Barbuda","2019","0","0","0","0","4","0","5","3","0","56","21","0","0","0","0","0","0","0","0","0","0","5","9","0","0","0","3","0","0","0","0","27","0","122","16","0","0","0","0","12","0","0","3","0","0","17","0","0","5","0","0","0","0"
"Angola","2019","0","0","0","0","8","0","0","0","4","6","0","0","0","0","3","0","0","0","0","0","0","3","25","0","0","0","0","0","0","0","0","7","0","12","4","0","4","0","0","5","0","4","0","0","0","24","0","0","5","0","0","0","0"
"Argentina","2019","5","0","21","9","452","57","64","6","23","1481","79","0","11","0","64","10","9","8","7","10","4","67","56","32","37","4","17","0","0","29","5","157","0","286","64","0","27","9","15","67","20","4","23","3","20","359","85","0","108","38","0","20","0"
"Armenia","2019","0","0","4","0","1793","15","5","0","0","32","6","0","0","0","6","0","3","0","3","0","0","18","39","10","6","0","0","0","0","46","0","34","0","115","11","0","15","0","5","19","0","5","12","0","3","32","8","0","13","22","0","4","0"
"Australia","2019","17","7","39","10","383","77","25","3","9","98","56","0","21","8","54","11","16","8","9","10","9","26","48","35","24","0","14","6","5","29","8","39","9","182","52","0","23","5","28","40","0","5","12","0","32","155","32","4","44","59","0","14","0"
"Austria","2019","0","0","8","0","35","7","0","0","0","35","6","0","0","0","0","0","0","0","0","0","0","8","4","5","3","0","0","0","0","0","0","7","0","28","7","0","0","0","3","0","0","0","0","0","0","9","0","0","5","6","0","0","0"
"Azerbaijan","2019","0","0","8","0","122","10","0","0","4","25","6","0","0","0","23","4","0","5","3","0","0","13","10","9","3","0","5","0","0","0","0","15","0","152","14","0","6","0","6","15","0","0","0","0","0","44","4","0","24","40","0","3","0"
"Bahamas","2019","10","0","4","4","12","6","3","0","0","366","66","0","3","0","8","0","0","0","0","3","0","7","8","3","4","3","3","0","0","0","0","7","0","22","15","0","7","0","0","9","0","0","4","0","6","29","0","0","0","0","0","0","0"
"Bahrain","2019","0","0","0","0","12","0","0","0","0","0","6","0","0","0","10","0","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","7","0","9","3","0","0","0","0","8","0","0","0","0","0","21","0","0","4","0","0","0","0"
"Bangladesh","2019","26","0","48","15","436","18","117","14","13","430","277","0","5","0","98","19","4","37","5","14","7","177","180","718","58","4","16","0","3","31","0","451","8","4064","65","0","50","23","26","312","0","0","10","0","26","632","0","0","400","34","0","22","0"
"Barbados","2019","3","0","0","0","15","0","7","0","3","85","33","0","0","0","0","4","0","0","3","0","0","13","46","3","3","0","0","0","0","3","0","32","0","272","17","0","5","0","0","28","0","0","4","0","3","14","0","0","10","0","0","0","0"
"Belarus","2019","3","3","15","0","232","39","19","5","6","152","40","0","0","3","100","9","3","4","5","0","0","33","74","18","68","0","8","5","0","10","4","76","3","333","42","0","26","0","18","120","0","5","20","0","4","46","4","0","45","78","0","17","0"
