Region and country of birth;Continent;Year;Total;Alabama;Alaska;Arizona;Arkansas;California;Colorado;Connecticut;Delaware;District of Columbia;Florida;Georgia;Guam;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Puerto Rico;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming
Bahamas;North America;2022;758;5;0;4;0;14;5;4;5;0;386;79;0;0;0;6;4;0;0;3;3;0;9;12;0;4;0;0;0;0;0;0;9;0;36;26;0;6;6;3;11;0;0;8;0;5;54;0;0;15;8;0;6;0
Bahrain;Asia;2022;134;0;0;4;0;25;0;3;0;0;4;6;0;0;0;9;0;0;0;0;0;0;0;4;6;0;0;0;0;0;4;0;9;0;11;0;0;3;0;0;6;0;0;0;0;0;13;0;0;4;6;0;3;0
Bangladesh;Asia;2022;14.177;30;3;55;20;631;27;212;39;12;421;395;0;4;0;101;46;14;23;8;16;0;287;232;939;42;0;30;0;3;19;3;978;5;7.222;66;3;73;45;51;453;0;8;15;0;34;803;7;0;566;121;4;22;0
Barbados;North America;2022;668;0;0;0;0;15;3;11;6;0;77;46;0;0;0;5;4;0;0;0;0;0;24;44;0;0;0;0;0;0;0;0;61;0;250;11;0;4;0;0;34;0;0;5;0;0;20;0;0;9;5;0;3;0
Belarus;Europe;2022;2.163;12;0;14;0;375;36;22;14;4;172;41;0;5;6;122;8;5;0;8;3;4;39;89;14;48;0;12;0;0;12;6;134;0;342;45;0;28;0;39;128;0;0;36;0;6;70;4;0;43;181;0;8;0
Belgium;Europe;2022;608;0;0;15;0;115;10;4;0;7;62;30;0;0;4;13;0;0;0;0;0;0;13;24;9;9;0;5;0;0;6;0;24;4;68;10;0;8;0;11;11;0;6;6;0;3;58;5;0;15;24;0;8;0
Belize;North America;2022;1.114;8;0;12;0;293;3;6;4;0;90;23;0;3;0;104;3;0;0;8;4;0;11;3;5;3;0;6;0;0;24;0;38;0;188;8;0;7;0;9;17;0;0;8;0;10;158;5;0;16;12;0;0;0
Benin;Africa;2022;539;0;0;3;0;12;27;4;0;3;5;27;0;0;0;42;41;20;3;4;0;0;46;0;4;26;0;4;0;16;0;0;14;0;62;8;0;19;8;0;34;0;0;4;0;4;39;0;0;23;10;0;6;0
Bhutan;Asia;2022;4.332;0;0;19;0;5;48;0;0;0;0;158;0;0;34;38;4;62;20;203;0;0;30;87;75;70;0;39;0;84;0;33;3;0;238;75;102;1.318;0;15;1.132;0;0;0;21;40;90;10;129;55;51;0;10;0
Bolivia;South America;2022;1.753;5;0;5;3;151;6;14;0;15;229;23;0;3;0;17;12;0;5;3;4;3;121;33;10;7;0;7;0;0;14;0;83;0;103;10;0;5;6;10;13;0;29;8;0;4;124;13;0;603;15;3;5;0
Bosnia and Herzegovina;Europe;2022;1.742;9;3;84;0;69;17;65;0;0;118;160;0;0;17;165;33;96;0;80;4;3;5;13;117;24;0;101;0;3;24;17;21;0;96;28;8;40;0;11;51;0;0;7;3;21;85;14;5;33;50;0;21;0
Brazil;South America;2022;13.203;67;11;111;27;1.550;106;385;18;35;2.946;554;0;51;17;210;64;24;41;32;44;9;190;1.562;112;50;10;47;12;8;93;90;1.071;19;833;217;4;112;40;78;280;9;45;102;5;63;975;147;8;248;312;14;49;7
Bulgaria;Europe;2022;2.182;6;6;16;0;291;45;11;19;12;186;69;0;8;3;401;6;3;6;9;5;4;43;119;21;10;0;19;0;0;84;4;125;0;178;27;0;18;9;14;54;0;4;24;0;13;77;13;0;73;106;0;18;4
Burkina Faso;Africa;2022;569;0;0;0;0;8;0;0;0;6;4;22;0;0;0;9;7;0;0;6;0;0;44;6;0;3;0;5;0;10;0;0;40;0;191;4;0;35;0;3;37;0;0;0;0;3;58;0;0;13;23;0;5;0
Burma;Africa;2022;9.277;7;5;166;38;572;158;27;5;5;178;444;0;8;30;353;1.306;310;159;322;29;0;254;30;174;738;3;81;5;199;13;6;27;7;565;255;5;110;343;118;202;0;0;25;43;128;925;49;5;46;178;6;562;0
Burundi;Africa;2022;553;0;0;54;0;8;15;3;0;0;0;9;0;0;11;10;8;33;0;21;0;46;17;6;15;10;0;3;0;0;5;10;3;4;21;4;8;23;0;6;17;0;5;3;8;18;89;9;0;18;16;0;5;0
Cabo Verde;Africa;2022;1.673;0;0;0;0;4;0;41;0;0;17;5;0;0;0;0;0;0;0;0;0;0;0;1.266;0;0;0;0;0;0;0;0;12;0;13;4;0;0;0;0;11;0;260;0;0;0;3;0;0;0;0;0;0;0
Cambodia;Asia;2022;3.183;13;5;36;16;840;34;23;0;0;76;56;0;11;0;41;19;11;11;64;22;9;30;415;30;146;7;17;0;0;16;9;16;0;28;42;0;54;15;40;185;0;38;21;3;33;264;22;0;73;352;0;9;0
Cameroon;Africa;2022;4.336;14;7;64;18;179;35;10;37;80;73;189;0;5;0;111;31;28;26;27;18;4;1.175;178;54;131;4;21;0;27;21;7;76;8;131;55;20;232;88;13;100;0;0;9;0;23;713;6;0;159;36;0;26;0
Canada;North America;2022;12.565;84;31;424;39;2.093;231;134;26;48;1.234;379;0;83;107;333;87;43;38;43;40;88;144;356;507;170;12;57;51;22;135;77;365;31;866;247;30;213;58;224;281;0;25;163;17;153;1.102;113;54;201;1.073;16;109;21
Central African Republic;Africa;2022;170;0;0;13;0;0;14;0;0;5;10;7;0;0;5;17;0;0;0;0;0;4;19;6;3;0;0;0;0;0;0;0;3;0;11;4;0;3;0;0;9;0;0;0;0;0;9;0;0;5;3;0;0;0
Colombia;South America;2022;105;0;0;3;0;0;0;8;0;0;0;0;0;0;0;0;12;0;0;0;0;0;8;4;0;0;0;0;0;0;0;0;10;0;11;0;0;6;0;0;6;0;0;0;0;0;14;0;0;3;0;0;0;0
Congo, Democratic Republic;Africa;2022;1.862;4;0;24;3;244;19;42;7;9;412;50;0;7;15;40;5;6;4;5;0;6;56;49;14;23;0;8;0;0;24;0;132;3;175;20;0;10;0;35;51;4;5;6;0;9;141;64;0;44;54;0;8;0
Congo, Republic;Africa;2022;27.038;71;14;186;20;8.741;165;211;65;41;586;508;11;166;39;732;151;47;77;59;86;16;548;1.017;330;210;24;100;9;20;270;41;900;29;5.299;247;14;271;74;349;656;15;42;89;6;136;1.802;74;8;484;1.547;17;114;10
Costa Rica;North America;2022;18.089;59;18;109;16;947;100;335;28;47;5.744;711;0;13;20;273;59;20;28;41;57;9;243;496;58;55;12;40;0;19;93;35;2.241;21;2.264;328;5;92;50;45;339;76;123;260;0;84;1.625;100;4;323;183;13;59;0
Cote d'Ivoire;Africa;2022;6.438;11;5;298;4;133;133;66;0;6;64;280;0;0;154;305;206;359;72;514;5;76;164;139;168;55;3;155;0;26;29;88;23;17;243;272;24;457;7;48;153;0;14;21;16;128;988;64;33;114;160;0;84;0
Croatia;Europe;2022;353;0;0;21;0;14;12;0;0;0;0;18;0;0;7;17;5;6;8;11;0;5;13;4;9;5;0;0;0;3;0;0;11;0;33;16;0;18;0;0;17;0;0;0;0;14;43;3;3;0;11;0;0;0
Cuba;North America;2022;2.026;11;0;34;6;203;21;42;6;3;358;68;0;3;3;33;5;0;3;10;13;0;24;30;18;11;3;4;0;3;18;5;441;5;112;70;0;14;4;40;57;0;0;41;0;21;155;14;0;42;30;4;11;0
Cyprus;Europe;2022;1.684;4;3;20;4;53;14;14;11;8;29;119;0;5;0;24;16;13;4;12;4;0;124;37;21;32;0;7;0;12;10;5;99;0;341;40;7;91;4;3;95;0;12;13;0;18;200;9;3;51;44;3;18;0
Czechia;Europe;2022;502;0;0;20;0;70;5;4;0;0;44;25;0;0;4;43;10;10;0;0;3;4;0;6;12;0;0;6;0;0;9;0;21;0;80;7;0;12;0;7;14;0;0;0;0;0;28;6;0;9;7;0;9;0
Czechoslovakia (former);Europe;2022;46.913;62;7;368;8;395;65;49;13;11;35.311;366;0;6;0;121;67;48;54;966;116;4;46;73;143;25;16;100;0;158;1.173;8;877;82;439;243;3;49;31;126;274;101;14;60;18;143;4.197;14;3;138;85;3;36;3
Chad;Africa;2022;142;0;0;0;0;22;0;5;0;0;10;5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;38;0;0;0;0;3;3;0;0;0;0;0;7;0;0;5;3;0;0;0
Chile;South America;2022;591;4;4;16;0;87;20;6;0;3;99;28;0;4;0;56;3;3;3;4;3;0;7;18;5;4;0;3;0;0;8;0;24;0;33;14;0;8;0;8;17;0;0;6;0;4;29;0;3;13;19;0;3;0
China, People's Republic;Asia;2022;245;0;0;5;0;47;5;3;0;3;29;7;0;0;0;14;0;0;3;0;0;0;4;7;3;0;0;3;0;0;0;0;8;0;20;3;0;4;0;4;6;0;0;0;0;0;14;0;0;7;19;0;0;0
Denmark;Europe;2022;691;3;0;16;0;188;16;6;0;4;65;30;0;4;0;21;7;0;0;0;0;0;8;13;7;11;0;3;0;0;11;0;34;0;47;16;0;3;4;13;11;0;0;0;0;0;47;13;0;12;46;0;7;0
Djibouti;Africa;2022;170;0;0;7;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;27;8;6;0;51;0;0;0;0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;9;0;0;0;10;0;15;0
Dominica;North America;2022;706;3;6;0;3;8;0;19;0;0;102;38;0;0;0;6;0;0;0;0;0;0;31;26;0;0;0;0;0;0;0;0;71;0;138;7;0;4;6;0;18;0;0;5;0;0;77;0;0;11;5;0;0;0
Dominican Republic;North America;2022;34.525;31;44;48;9;151;25;788;70;58;3.211;430;0;8;6;119;86;25;10;20;125;6;358;3.260;109;42;18;48;0;17;51;124;6.416;10;12.402;331;0;209;10;20;2.849;818;849;87;4;60;441;50;3;183;48;7;47;0
Ecuador;South America;2022;10.100;15;4;34;4;346;36;466;16;17;1.153;128;0;5;6;287;34;19;9;14;16;5;115;144;22;164;4;18;0;8;30;6;2.344;10;3.420;135;0;42;15;23;232;8;19;38;0;21;315;35;0;123;59;4;20;0
Egypt;Africa;2022;8.632;13;0;57;10;1.405;27;76;42;14;499;105;0;7;7;138;75;34;22;24;20;0;111;299;123;68;3;27;0;20;17;8;1.517;9;1.057;121;0;160;16;52;373;0;11;70;0;460;734;6;4;469;215;12;25;0
El Salvador;North America;2022;21.453;43;14;171;240;6.329;124;78;17;196;694;495;0;11;17;153;124;91;85;37;48;11;1.709;629;55;134;5;51;0;62;366;12;862;15;1.918;390;0;102;30;117;135;10;33;43;12;91;3.458;127;5;1.685;183;8;33;0
Eritrea;Africa;2022;2.483;5;0;50;0;323;80;10;0;47;18;128;0;0;6;46;58;85;21;26;0;3;129;31;13;57;4;31;0;3;61;0;15;0;42;87;0;142;13;37;75;0;7;0;13;20;332;10;0;150;263;4;9;0
Estonia;Europe;2022;224;0;0;5;0;36;4;4;0;3;41;5;0;0;0;6;0;0;0;0;0;0;5;6;0;4;0;0;0;0;0;0;7;0;27;0;0;4;0;5;5;0;0;0;0;0;16;0;0;3;15;0;0;0
Ethiopia;Africa;2022;10.858;12;7;88;3;829;480;25;5;346;112;672;0;0;20;164;83;101;95;72;12;11;1.215;228;58;1.151;5;109;0;54;296;0;75;0;141;118;6;356;30;188;185;0;3;12;55;141;874;23;3;1.186;1.037;10;44;0
Fiji;Oceania;2022;1.180;0;0;6;0;893;0;0;0;0;5;6;0;13;0;6;0;0;0;0;3;0;0;3;3;0;0;0;0;0;12;0;5;0;10;0;0;0;0;16;9;0;0;0;0;0;20;5;0;5;132;0;0;0
Finland;Europe;2022;438;4;0;5;3;93;4;0;0;6;39;18;0;0;0;8;0;0;0;0;0;0;8;13;7;10;0;3;0;0;0;0;12;0;41;8;0;4;0;6;8;0;3;4;0;0;41;7;0;11;38;0;6;0
France;Europe;2022;4.351;16;0;53;4;1.065;50;46;4;35;468;91;0;21;26;114;13;8;11;15;15;11;75;146;50;47;0;14;7;0;44;12;195;8;652;61;0;44;5;66;94;6;11;39;0;15;326;17;0;86;207;3;24;0
Gabon;Africa;2022;133;0;0;0;0;4;0;3;0;0;0;6;0;0;0;3;3;0;0;0;0;0;17;3;0;4;0;0;0;0;0;0;5;0;21;0;0;0;0;0;4;0;0;0;0;0;35;0;0;3;0;0;0;0
Gambia;Africa;2022;1.072;6;10;0;0;16;9;8;4;0;6;97;0;0;0;13;4;0;4;28;0;0;63;10;24;37;3;4;0;0;0;0;21;0;234;30;3;57;3;5;27;0;15;0;0;11;56;0;0;17;157;0;64;0
Georgia;Asia;2022;1.402;0;0;4;0;141;10;17;0;6;48;18;0;0;0;35;4;0;4;5;0;0;33;17;0;6;0;0;0;0;10;0;193;0;591;7;0;20;0;0;120;0;0;3;0;0;25;0;0;31;22;0;0;0
Germany;Europe;2022;4.218;65;17;87;21;745;78;50;9;26;388;177;0;24;23;121;27;12;9;38;19;14;78;100;147;34;5;35;13;7;36;18;150;20;299;125;0;78;33;82;128;0;12;61;4;54;304;22;7;109;188;16;44;9
Ghana;Africa;2022;7.588;18;4;58;8;211;135;181;85;14;90;421;0;10;4;265;43;30;27;50;13;0;596;363;36;94;9;45;0;11;19;5;776;16;1.317;114;31;554;41;30;220;0;24;21;0;60;499;18;5;747;101;7;41;3
Greece;Europe;2022;1.452;0;0;14;0;175;12;34;7;6;104;20;0;0;0;84;12;0;3;3;4;0;49;92;23;5;0;5;0;0;7;11;98;0;377;11;0;25;3;8;76;0;4;8;0;3;62;0;0;24;42;0;9;0
Grenada;North America;2022;748;3;0;0;0;8;0;10;0;3;41;17;0;0;0;3;0;0;0;0;0;0;23;7;0;0;0;0;0;0;0;0;41;0;482;4;0;0;0;0;7;0;0;0;0;0;46;0;0;12;5;0;0;0
Guatemala;North America;2022;10.912;78;8;159;68;3.620;61;165;29;30;693;292;0;7;24;271;70;64;49;42;46;4;353;460;52;87;15;46;0;100;165;12;483;22;677;143;0;87;70;176;146;10;252;58;23;87;848;96;0;380;152;7;34;0
Guinea;Africa;2022;1.315;6;0;11;0;14;3;12;6;6;9;70;0;0;0;14;35;7;4;6;0;0;76;19;16;33;0;6;0;0;0;0;75;0;514;13;0;85;0;7;105;0;5;0;0;13;37;0;0;36;36;0;12;0
Guyana;South America;2022;6.872;10;0;11;0;49;5;147;21;14;525;208;0;4;0;17;3;0;5;5;9;0;180;42;16;63;0;7;0;0;6;0;674;0;4.452;34;0;20;3;5;108;0;0;15;0;18;74;0;0;44;7;3;0;0
Haiti;North America;2022;18.001;29;3;29;0;122;29;419;154;12;7.422;448;0;9;5;81;252;13;15;54;47;3;260;2.041;29;12;4;33;0;3;20;27;1.736;7;3.216;138;7;49;7;16;584;6;67;22;0;37;139;24;4;100;36;0;22;0
Honduras;North America;2022;8.403;63;9;52;31;854;41;75;15;25;1.524;289;0;7;13;134;89;32;40;50;290;6;244;188;35;53;15;53;0;25;64;9;585;6;843;265;0;61;29;27;98;18;16;87;3;88;1.279;41;0;381;136;5;39;0
Hong Kong;Asia;2022;2.463;3;0;13;4;1.049;10;12;0;9;48;40;3;21;3;44;8;3;11;0;4;0;45;80;14;9;0;12;0;3;39;4;79;0;370;18;0;15;0;24;34;0;3;5;0;5;126;18;3;23;216;0;12;0
Hungary;Europe;2022;1.038;3;0;13;0;199;16;16;0;0;202;24;0;8;6;18;7;3;6;5;0;4;12;19;6;6;5;8;0;4;17;6;73;3;134;15;0;8;3;17;37;0;0;6;0;6;42;4;0;19;35;0;7;0
Iceland;Europe;2022;100;0;0;0;0;12;0;0;0;0;10;5;0;0;0;5;0;0;0;0;0;0;0;5;3;4;0;0;0;0;0;0;3;0;7;0;0;0;0;3;3;0;0;0;0;0;10;0;0;0;5;4;0;0
India;Asia;2022;65.960;416;14;645;196;14.018;283;733;316;51;1.774;3.086;0;25;23;3.891;855;165;201;303;130;36;1.266;1.566;1.299;482;112;308;4;69;137;142;7.960;74;3.903;1.203;18;1.273;225;424;2.762;5;38;503;12;575;8.608;121;32;2.060;2.823;39;398;5
Indonesia;Asia;2022;1.660;10;0;27;7;500;38;7;3;0;69;58;0;8;7;28;10;6;4;7;4;3;35;22;19;14;0;9;0;3;30;11;48;0;110;19;0;25;9;29;76;0;0;13;0;19;163;3;3;42;123;0;11;0
Iran;Asia;2022;15.752;29;0;203;26;7.641;133;59;11;44;328;480;0;11;49;300;51;17;56;43;21;0;467;302;159;61;8;52;0;27;176;10;173;24;432;146;6;119;81;200;178;0;13;43;5;72;1.837;71;6;714;726;8;37;3
Iraq;Asia;2022;11.503;13;0;725;9;1.855;211;53;0;7;230;118;0;0;100;489;50;51;34;214;15;106;90;241;1.712;156;3;155;10;295;43;22;70;46;342;88;27;360;43;158;186;0;27;21;4;192;1.662;95;15;446;545;5;113;0
Ireland;Europe;2022;2.026;6;4;22;0;377;20;38;3;5;109;28;0;6;8;114;12;4;4;11;7;4;29;212;16;19;0;6;0;4;7;13;112;4;373;35;0;20;0;29;71;0;11;15;0;8;102;5;0;41;86;0;7;0
Israel;Asia;2022;3.709;9;3;32;0;930;42;33;4;9;380;126;0;5;4;86;6;3;7;6;13;0;62;124;41;17;3;14;0;0;65;6;311;6;703;30;0;71;3;32;77;4;3;14;0;15;192;0;0;30;144;0;15;0
Italy;Europe;2022;3.910;12;6;37;4;645;32;84;9;34;523;63;0;10;13;123;11;12;4;5;8;5;48;173;101;14;0;15;3;0;22;14;297;15;767;64;0;44;0;20;152;5;16;29;0;19;189;14;5;95;81;3;21;0
Jamaica;North America;2022;22.963;89;12;89;9;327;85;1.274;118;46;5.242;1.691;0;19;7;193;71;13;21;36;88;73;843;674;116;52;42;59;0;10;48;23;1.719;13;6.828;294;12;146;25;17;794;0;37;160;8;87;626;13;21;370;86;28;43;0
Japan;Asia;2022;2.033;9;0;43;4;594;22;19;0;11;59;52;17;153;9;45;14;4;7;9;4;3;38;44;35;14;3;7;0;0;28;7;84;6;185;30;0;28;4;46;27;0;3;6;0;13;100;12;0;50;123;5;11;0
Jordan;Asia;2022;4.559;38;3;55;13;672;21;40;4;6;292;62;0;0;0;529;84;12;22;43;92;4;63;61;217;36;12;50;0;11;13;7;295;17;221;69;0;316;22;21;113;8;3;28;0;79;532;9;0;154;70;3;85;0
Kazakhstan;Asia;2022;1.243;3;0;6;0;231;28;5;0;5;93;19;0;3;6;56;7;6;3;8;3;3;17;23;6;18;0;8;0;0;8;0;40;4;193;23;0;31;6;28;50;0;0;14;0;7;102;5;0;46;101;0;10;0
Kenya;Africa;2022;6.090;72;4;123;15;372;80;28;98;21;96;292;0;8;16;82;81;63;120;52;11;11;256;292;52;713;7;129;3;53;19;21;257;6;149;138;29;198;41;53;189;0;6;19;6;60;1.033;17;9;114;474;3;38;0
Korea, South;Asia;2022;14.880;193;31;107;21;4.248;149;82;19;30;199;1.099;37;156;15;461;73;17;38;31;30;5;458;215;207;48;10;50;4;8;141;5;1.290;13;1.437;178;4;140;35;152;381;0;6;43;0;72;1.080;64;0;867;718;6;29;0
Kosovo;Europe;2022;866;4;0;22;3;14;0;42;0;0;45;22;0;0;7;37;0;7;0;16;0;0;7;17;48;0;0;5;3;0;5;3;59;0;314;5;0;4;8;5;33;0;0;6;0;6;50;0;0;13;12;0;22;0
Kuwait;Asia;2022;1.189;7;0;18;3;193;11;7;0;4;56;25;0;0;7;66;18;4;13;10;13;5;16;33;64;10;0;10;0;5;6;0;82;3;74;15;0;44;7;8;32;0;0;7;0;13;173;0;0;49;45;0;16;0
Kyrgyzstan;Asia;2022;763;0;0;4;0;112;9;4;0;3;34;14;0;0;0;139;3;0;0;0;0;0;4;22;0;16;0;9;0;0;0;0;20;0;104;10;0;28;4;18;43;0;0;4;0;4;40;0;0;33;53;0;0;0
Laos;Asia;2022;1.829;15;13;11;49;466;22;21;0;0;34;64;0;13;4;22;3;47;39;0;10;0;10;20;30;276;0;8;0;4;14;0;4;0;14;55;0;16;21;32;23;0;21;16;0;28;94;16;0;27;81;0;166;0
Latvia;Europe;2022;351;3;0;5;0;69;6;8;4;0;39;9;0;0;0;15;0;0;0;3;0;0;7;11;0;6;0;0;0;0;0;0;15;0;49;7;0;3;0;8;8;0;0;7;0;0;20;0;0;5;13;0;5;0
Lebanon;Asia;2022;2.957;7;0;35;0;526;17;16;4;18;178;61;0;0;0;64;17;5;15;14;13;3;26;181;558;22;0;6;0;4;22;17;116;4;173;34;0;124;17;14;63;0;9;9;0;10;336;7;0;128;45;0;10;0
Liberia;Africa;2022;4.542;7;0;38;3;73;34;29;99;9;27;206;0;0;0;38;47;168;13;48;0;0;266;134;45;610;0;23;0;6;10;8;357;3;200;151;130;97;11;16;897;0;160;6;26;37;279;5;4;89;35;6;20;0
Libya;Africa;2022;495;0;0;6;0;50;16;7;0;0;29;12;0;0;0;16;5;3;0;6;0;0;5;16;22;7;0;12;0;3;4;0;21;0;26;5;0;38;6;10;17;0;0;4;0;8;64;0;0;25;26;0;8;0
Lithuania;Europe;2022;686;0;0;6;0;50;11;5;0;0;58;20;0;0;0;260;7;3;0;0;0;0;8;7;14;7;0;0;0;3;11;0;40;0;59;8;0;12;0;8;12;0;0;6;0;0;11;0;0;15;17;0;7;0
Macau;Asia;2022;111;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;16;0;0;0;0;3;0;0;0;0;0;0;6;0;0;0;6;0;0;0
Malawi;Africa;2022;168;3;0;0;0;10;0;0;0;0;6;15;0;0;0;4;15;0;0;4;0;0;9;7;11;0;0;0;0;0;0;0;4;0;10;0;0;5;4;0;5;0;0;0;0;3;23;0;0;8;3;0;3;0
Malaysia;Asia;2022;1.387;5;5;27;0;331;25;4;0;0;49;58;0;9;7;42;20;0;9;6;6;0;28;27;14;19;0;9;0;5;13;0;44;4;204;13;0;17;12;23;21;0;3;6;0;6;137;0;0;34;65;0;53;0
Mali;Africa;2022;575;0;0;6;0;6;7;4;4;4;8;27;0;0;0;9;6;0;0;0;0;0;53;0;6;4;0;0;0;3;3;0;14;0;212;12;0;29;0;0;79;0;0;0;0;3;29;0;0;8;17;0;3;0
Mauritania;Africa;2022;280;0;0;0;0;4;5;0;0;0;0;6;0;0;0;5;16;0;0;18;9;0;5;0;5;0;0;0;0;0;0;0;3;0;65;3;3;68;0;0;16;0;0;0;0;7;5;0;0;21;0;0;0;0
Mauritius;Africa;2022;103;0;0;0;0;16;3;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;5;0;11;0;0;0;3;0;0;0;0;0;0;0;11;0;0;9;8;0;0;0
Mexico;North America;2022;128.878;578;80;6.623;740;45.883;1.991;257;181;45;3.032;2.714;3;89;770;5.857;1.076;553;901;386;284;15;437;248;961;831;176;473;25;459;2.480;36;1.084;1.586;1.756;1.641;46;528;1.164;2.499;693;71;43;493;37;737;30.723;1.242;8;648;3.236;36;1.052;86
Moldova;Europe;2022;2.791;32;11;20;0;420;53;7;6;0;294;90;0;4;5;436;8;4;0;5;12;0;24;89;15;45;0;16;0;3;42;3;56;5;217;69;11;36;4;52;57;0;0;40;4;24;95;11;13;61;359;0;4;4
Montenegro;Europe;2022;672;0;0;3;0;222;45;4;0;4;7;6;0;5;0;103;3;0;0;0;0;0;11;8;0;4;0;0;0;3;6;0;11;0;24;0;0;0;5;0;4;0;0;0;0;0;14;4;0;89;48;0;9;0
Mongolia;Asia;2022;297;0;0;0;0;21;0;3;0;0;5;0;0;0;0;26;0;0;0;0;0;0;5;0;43;0;0;0;0;0;3;0;27;0;132;0;0;0;0;0;8;0;0;0;0;0;5;0;0;0;0;0;0;0
Morocco;Africa;2022;3.885;14;0;25;9;257;58;75;16;15;381;97;0;4;3;161;36;10;13;54;12;0;54;403;44;27;9;10;0;0;24;15;314;4;406;115;0;116;39;24;253;0;17;27;0;12;207;8;3;392;48;8;29;0
Nepal;Asia;2022;9.408;37;5;62;18;936;281;73;16;10;90;212;0;13;20;118;34;71;41;217;20;0;487;321;101;95;7;46;0;79;14;83;167;19;1.031;224;64;734;44;63;652;0;14;12;17;63;1.514;60;55;693;287;7;76;0
Netherlands;Europe;2022;918;6;0;21;8;147;19;11;0;7;90;26;0;4;6;13;8;0;7;9;5;3;23;25;22;8;4;7;3;0;6;5;33;4;60;17;0;17;0;20;30;0;0;7;3;22;97;5;3;25;53;0;12;0
